Country,ScenarioLabel,TreatmentYear,PreferredConvention,PreRMSPEPct,PostRMSPEPct,RMSPERatio,RMSPERatioPlaceboRank,RMSPERatioOneSidedPValue,MeanGapPctCommonWindow,MeanGapPlaceboRank,MeanGapOneSidedPValue,PostWindowStart,PostWindowEnd,CommonWindowStart,CommonWindowEnd,NumPlaceboUnits
Chile,2009 placebo start,2009,False,8.925059477462815,18.290749894617587,2.0493700844016356,4,0.3333333333333333,-17.573027913919635,12,1.0,2009,2019,2010,2019,11
Chile,2010 baseline start,2010,True,10.348477984423402,5.007262243648511,0.48386460803081144,12,1.0,-4.688372959480452,9,0.75,2010,2019,2010,2019,11
Chile,2011 placebo start,2011,False,7.323124148668918,2.757014493797035,0.3764806437561436,12,1.0,-1.8035633009318126,9,0.75,2011,2019,2010,2019,11
New Zealand,2010 start,2010,False,1.0764523345488473,7.139491471211883,6.632426947361418,1,0.06666666666666667,6.7207203927730115,4,0.26666666666666666,2010,2019,2011,2019,14
New Zealand,2011 start (preferred),2011,True,1.0081226721169976,7.8774553282664455,7.813984891069118,1,0.06666666666666667,7.097739207407205,3,0.2,2011,2019,2011,2019,14
New Zealand,2012 sequence-aware start,2012,False,1.022881502684936,8.134189922254754,7.952230928903809,1,0.06666666666666667,6.85475436942834,4,0.26666666666666666,2012,2019,2011,2019,14
