Country,CandidateTreatmentYear,IsActual,MeanPostGapPct,RMSPE_Pre,RMSPE_Post,RMSPE_Ratio
New Zealand,2001,False,3.148455628546133,1.0329636943642715,5.924063579019095,5.735016255982751
New Zealand,2002,False,3.508592272308489,2.468055549787911,6.035453007379474,2.4454283486034676
New Zealand,2003,False,3.927204849312913,2.8982162695260003,6.148477084688577,2.121469384234101
New Zealand,2004,False,4.149740661154687,2.5166143703142465,6.337042285815087,2.518082373114554
New Zealand,2005,False,4.328510997106613,2.3447371100305263,6.5338814900744016,2.786615805295689
New Zealand,2006,False,4.329320203621426,2.7726948958028776,6.664061655946324,2.4034601376566678
New Zealand,2007,False,4.394369319168961,2.8850120105879773,6.847795885494648,2.37357621402035
New Zealand,2008,False,4.353575854961862,1.1324410445170476,5.973329458246376,5.2747376891428575
New Zealand,2009,False,6.699989067336904,1.1231445625295582,8.125374183133102,7.234486507091347
New Zealand,2011,True,7.782931057283727,0.9997128956435302,8.73406025657041,8.736568563465578
