Country,AnalysisType,CandidateTreatmentYear,Year,Gap,RMSPE_Pre,RMSPE_Post,RMSPE_Ratio
NZ,placebo,2001,2001,-1308.778259067978,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2002,-1811.958926377676,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2003,-242.52811830242717,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2004,-63.2177452017786,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2005,1401.8003134208338,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2006,1011.8312764419825,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2007,251.8524357303977,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2008,-962.7772792693577,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2009,-1910.4002609328018,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2010,-1140.7867874751028,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2011,-1349.4227246473529,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2012,-230.80772806137247,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2013,2019.8276462027352,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2014,1609.7436013456609,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2015,3855.8625383651524,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2016,4489.378092332256,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2017,1855.7147786932037,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2018,1175.7478893684747,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2019,451.06777509902895,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2020,1250.3666154918756,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2021,-61.26138968992018,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2022,-1543.7201874053717,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2001,2023,-1026.0154837188602,619.3084271745538,1714.2498390131097,2.7680066406232573
NZ,placebo,2002,2002,-170.22937469125463,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2003,1087.0515908422858,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2004,977.2780318693876,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2005,1724.9646189730847,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2006,1610.5724248634215,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2007,819.72631930239,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2008,901.4941641987825,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2009,446.0516706331982,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2010,1379.6494587477137,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2011,1903.2181372370615,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2012,2650.245321462651,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2013,4249.707096303442,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2014,4943.651450823847,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2015,6053.702973655731,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2016,5468.156761340229,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2017,3724.83065854467,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2018,3670.1351990344992,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2019,3095.386633000642,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2020,3498.1841587851013,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2021,2478.1807836893713,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2022,3254.015816454339,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2002,2023,3616.702233185468,1034.286793636392,3089.4947659290897,2.9870774575656185
NZ,placebo,2003,2003,1594.752833328257,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2004,1457.1762346372052,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2005,2480.971690325321,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2006,2019.3789258619727,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2007,570.5401888819324,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2008,1036.4905731137187,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2009,301.2793524638837,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2010,1964.962940122081,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2011,2367.700490636198,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2012,2860.650559991278,1016.1896820230004,4308.267146771359,4.239628902937282
NZ,placebo,2003,2013,5665.842979080211,1016.1896820230004,4308.267146771359,4.239628902937282
