Group,Regions,Pre-treatment avg construction share (%),Post-treatment avg construction share (%),Change (p.p.)
Treated,Canterbury,6.099389306166627,8.28574104223871,2.1863517360720834
Adjacent,"West Coast, Otago, Marlborough",7.263646798894809,6.953265170381709,-0.3103816285130998
Non-adjacent,11 regions,5.869585163382422,5.2365700166713065,-0.6330151467111156
