Country,ConstructionShareGapPP,NonConstructionShareGapPP,NonConstructionLevelGap,NonConstructionLevelGapPctOfSynthetic,Interpretation
Chile,1.8222690349060564,-2.0106663087006442,-1.6193586473790773,-6.659635478271006,Share and absolute crowding-out
New Zealand,2.5309379599120185,-2.1340331540021107,789.0116555312904,3.1446424741194665,Share crowding-out without absolute contraction
