Country,ScenarioLabel,TreatmentYear,Unit,PreRMSPEPct,PostRMSPEPct,RMSPERatio,MeanGapPctCommonWindow
Chile,2009 placebo start,2009,I De Tarapacá,5.179774210072746,13.233412426687762,2.55482418537736,-11.756472087509177
Chile,2009 placebo start,2009,II De Antofagasta,46.95012568549669,27.151872831674464,0.5783131021534607,24.682488867137874
Chile,2009 placebo start,2009,III De Atacama,34.91865208753396,10.485750748229865,0.30029082227871284,2.030377254498979
Chile,2009 placebo start,2009,IV De Coquimbo,4.275085607850631,19.630482787662842,4.591833845763007,-15.751332465105396
Chile,2009 placebo start,2009,IX De La Araucanía,32.045786131456225,21.384822462376274,0.6673208881396384,-13.428392630995234
Chile,2009 placebo start,2009,RMS Región Metropolitana de Santiago,21.417870536197476,32.51953341829999,1.5183364454155255,32.822534572216995
Chile,2009 placebo start,2009,V De Valparaíso,2.5706460607310047,2.1574608182935227,0.8392679378350568,1.3167917009996606
Chile,2009 placebo start,2009,VI Del Libertador General Bernardo OHiggins,8.020786065907064,3.82432420179245,0.4768016713533875,3.167728251620372
Chile,2009 placebo start,2009,X De Los Lagos,5.742894669239162,4.637713840643528,0.8075568346194216,1.4322915506250111
Chile,2009 placebo start,2009,XI Aysén del General Carlos Ibáñez del Campo,7.7798418402510245,18.97466568168141,2.438952625426274,18.30402728226921
Chile,2009 placebo start,2009,XII De Magallanes y de la Antártica Chilena,49.71990087285604,33.194886183172066,0.6676378190708422,33.21237141364669
Chile,2010 baseline start,2010,I De Tarapacá,7.073590323323321,31.950833726414707,4.51691888644797,-30.19603789698014
Chile,2010 baseline start,2010,II De Antofagasta,46.634153311448564,25.776739610089503,0.5527438106989578,24.682488867137728
Chile,2010 baseline start,2010,III De Atacama,18.890732015733036,15.896259552291845,0.8414845723846348,12.421727875129964
Chile,2010 baseline start,2010,IV De Coquimbo,5.850665514095394,19.014733928391557,3.2500121366674195,-16.05127647186655
Chile,2010 baseline start,2010,IX De La Araucanía,44.915554189518254,27.336033864715844,0.6086095197528507,-23.55058606308248
Chile,2010 baseline start,2010,RMS Región Metropolitana de Santiago,6.881635787939074,26.637204902855938,3.870766446190158,25.402803969233297
Chile,2010 baseline start,2010,V De Valparaíso,2.828953951061775,2.1044307626323397,0.7438900735172786,-0.3250754800239297
Chile,2010 baseline start,2010,VI Del Libertador General Bernardo OHiggins,6.9617567834561145,4.288036703378955,0.6159417567659107,-3.9609815589042134
Chile,2010 baseline start,2010,X De Los Lagos,8.58583342291488,5.1438013265524685,0.5991033220868329,-3.6159508839190373
Chile,2010 baseline start,2010,XI Aysén del General Carlos Ibáñez del Campo,11.099807659942467,21.39615460429184,1.927614897464155,14.49255012158602
Chile,2010 baseline start,2010,XII De Magallanes y de la Antártica Chilena,26.516550108301683,16.758624872247946,0.6320062302147379,12.230681506490715
Chile,2011 placebo start,2011,I De Tarapacá,5.270226125787798,32.06408961035696,6.084006424973651,-28.62391371004339
Chile,2011 placebo start,2011,II De Antofagasta,46.14455615207253,25.057018980915867,0.5430113770807277,24.6824888671378
Chile,2011 placebo start,2011,III De Atacama,15.673502681768914,20.328551550637027,1.2970011849541945,18.045553516303055
Chile,2011 placebo start,2011,IV De Coquimbo,4.357966745691982,16.71504946616602,3.8355156066047287,-13.157719192028974
Chile,2011 placebo start,2011,IX De La Araucanía,46.00685666800099,30.536167646882728,0.6637307970688086,-29.732085552360342
Chile,2011 placebo start,2011,RMS Región Metropolitana de Santiago,6.98173098771737,27.669929584747685,3.9631904513975242,25.055204906430443
Chile,2011 placebo start,2011,V De Valparaíso,10.282366207117677,6.792735206288233,0.6606198485311828,5.91408971047809
Chile,2011 placebo start,2011,VI Del Libertador General Bernardo OHiggins,8.49259747645289,3.899605057953998,0.4591769560215574,2.3951241094819493
Chile,2011 placebo start,2011,X De Los Lagos,3.585633402756493,3.2572778984196287,0.9084246861141918,1.4067196164282958
Chile,2011 placebo start,2011,XI Aysén del General Carlos Ibáñez del Campo,13.498345474524493,20.487836241033605,1.5178035174533366,9.949041903738186
Chile,2011 placebo start,2011,XII De Magallanes y de la Antártica Chilena,28.907300022009927,23.720288262038817,0.8205639490363426,19.64317974389001
New Zealand,2010 start,2010,Auckland,2.138145591349046,3.706384975384258,1.7334577169956626,-0.45756699415437146
New Zealand,2010 start,2010,Bay of Plenty,1.3641869562615814,5.186491986135646,3.801892374303821,4.561759239345179
New Zealand,2010 start,2010,Gisborne,7.400183980687206,2.2139392717524546,0.29917354454028866,-0.895518634864978
New Zealand,2010 start,2010,Hawke's Bay,5.408973488620642,5.821214190984913,1.0762142212809027,-5.706438009738132
New Zealand,2010 start,2010,Manawatu-Whanganui,1.553093857253488,2.1861968876665254,1.407639903703325,-0.8415746466722104
New Zealand,2010 start,2010,Marlborough,2.455908027408878,11.006746789149021,4.481742258386509,7.86174791463139
New Zealand,2010 start,2010,Northland,5.885991892058952,6.726362035136727,1.142774600864054,-6.237910808942202
New Zealand,2010 start,2010,Otago,2.4001890068583305,2.8120244041569977,1.1715845694326086,2.485261665672527
New Zealand,2010 start,2010,Southland,2.1611676484878046,7.83556059930378,3.6256144241222645,7.532811660500601
New Zealand,2010 start,2010,Taranaki,15.222100383353107,17.788183208135216,1.1685761333953872,13.299535353947968
New Zealand,2010 start,2010,Tasman/Nelson,1.3142537110953612,2.8521900431026177,2.1701974428708044,-2.543239428702199
New Zealand,2010 start,2010,Waikato,1.9722366567930392,3.6949124396550794,1.8734630182075624,-3.4586639965035593
