Country,Estimator,Year,GapPct
Chile,SCM,1990,-11.069970818611875
Chile,SCM,1991,-3.625989462140785
Chile,SCM,1992,0.6264049231606429
Chile,SCM,1993,-2.631482608940517
Chile,SCM,1994,3.053313276309409
Chile,SCM,1995,5.065929624177815
Chile,SCM,1996,0.6550914865354183
Chile,SCM,1997,-1.2967778338695395
Chile,SCM,1998,-2.246526073035745
Chile,SCM,1999,-2.5381330540156872
Chile,SCM,2000,-1.2912887167236997
Chile,SCM,2001,2.0724602868878472
Chile,SCM,2002,-1.8367141441455923
Chile,SCM,2003,0.45986028458015005
Chile,SCM,2004,-0.916845855201673
Chile,SCM,2005,2.171558909486824
Chile,SCM,2006,4.575683110977416
Chile,SCM,2007,-0.5480881026732797
Chile,SCM,2008,-0.03619889346745614
Chile,SCM,2009,0.5309319684575559
Chile,SCM,2010,-0.154625447575483
Chile,SCM,2011,-1.0310053601529745
Chile,SCM,2012,1.847061616973962
Chile,SCM,2013,-1.0520406098977408
Chile,SCM,2014,-3.885683537587966
Chile,SCM,2015,-0.46695802299377864
Chile,SCM,2016,-2.159815939253192
Chile,SCM,2017,-4.1868766837435265
Chile,SCM,2018,-2.0708430652621566
Chile,SCM,2019,-3.939236168564027
Chile,SDID,1990,-1.3120970141732031
Chile,SDID,1991,0.6317346901830236
Chile,SDID,1992,2.7608410934935574
Chile,SDID,1993,0.59301631735307
Chile,SDID,1994,4.519124612938636
Chile,SDID,1995,3.9440329448113585
Chile,SDID,1996,0.4136626896830731
Chile,SDID,1997,-1.3403158966056457
Chile,SDID,1998,-3.035027248663815
Chile,SDID,1999,-4.169829512679741
Chile,SDID,2000,-0.7904277221110044
Chile,SDID,2001,0.5336546124121584
Chile,SDID,2002,-1.4065828259664772
Chile,SDID,2003,-1.4969187146909015
Chile,SDID,2004,-1.4271306472934664
Chile,SDID,2005,0.07719996851404262
Chile,SDID,2006,0.32675858679683456
Chile,SDID,2007,-1.9403549998854495
Chile,SDID,2008,-1.3036304372594332
Chile,SDID,2009,0.3428656490657181
Chile,SDID,2010,-1.927211388888941
Chile,SDID,2011,-4.504739279005208
Chile,SDID,2012,-5.149182734723874
Chile,SDID,2013,-6.815462912146638
Chile,SDID,2014,-7.3845224528189926
Chile,SDID,2015,-4.314200995352254
Chile,SDID,2016,-5.709006153841875
Chile,SDID,2017,-7.1262157168914095
Chile,SDID,2018,-3.1908402200612693
Chile,SDID,2019,-4.703915738157733
Chile,Penalized SCM,1990,-8.581220980963238
Chile,Penalized SCM,1991,-2.194353795693545
Chile,Penalized SCM,1992,1.5844716913632046
Chile,Penalized SCM,1993,-2.833991260231028
Chile,Penalized SCM,1994,2.528529074019266
Chile,Penalized SCM,1995,4.575943863633723
Chile,Penalized SCM,1996,-0.19264337981021892
Chile,Penalized SCM,1997,-1.9827890753745434
Chile,Penalized SCM,1998,-2.6991260173651175
Chile,Penalized SCM,1999,-3.3128994021732208
Chile,Penalized SCM,2000,-0.5227355184871221
Chile,Penalized SCM,2001,2.7461068734178355
Chile,Penalized SCM,2002,-1.024285597559723
Chile,Penalized SCM,2003,1.319391820504046
Chile,Penalized SCM,2004,0.7145613044918165
Chile,Penalized SCM,2005,2.367434928401729
Chile,Penalized SCM,2006,5.01064742509776
Chile,Penalized SCM,2007,-1.916011230651952
Chile,Penalized SCM,2008,-1.0538238922336538
Chile,Penalized SCM,2009,-0.046249338624818774
Chile,Penalized SCM,2010,-1.767676894660423
Chile,Penalized SCM,2011,-3.743432192734586
Chile,Penalized SCM,2012,-1.758961738690537
Chile,Penalized SCM,2013,-3.46660658376198
Chile,Penalized SCM,2014,-3.4481268203474267
Chile,Penalized SCM,2015,1.6289697836768906
Chile,Penalized SCM,2016,-0.17150445082436475
Chile,Penalized SCM,2017,-2.3737811646735936
Chile,Penalized SCM,2018,1.0629505086168107
Chile,Penalized SCM,2019,-0.5350309685710296
New Zealand,SCM,2000,0.14725028302436718
New Zealand,SCM,2001,-1.9420312328331149
New Zealand,SCM,2002,-1.7169548254459261
New Zealand,SCM,2003,0.3340625745909335
New Zealand,SCM,2004,-0.08510433541206743
New Zealand,SCM,2005,1.685377102690664
New Zealand,SCM,2006,-0.61314718469175
New Zealand,SCM,2007,0.9030652303998639
New Zealand,SCM,2008,0.044743769654923556
New Zealand,SCM,2009,-0.4650195572412237
New Zealand,SCM,2010,0.5931081958850808
New Zealand,SCM,2011,1.2751270916571462
New Zealand,SCM,2012,3.3228058156207987
New Zealand,SCM,2013,7.440405332043529
New Zealand,SCM,2014,11.888457235003571
New Zealand,SCM,2015,13.700801117171437
New Zealand,SCM,2016,12.735019104339335
New Zealand,SCM,2017,7.920219776051112
New Zealand,SCM,2018,6.220972429656594
New Zealand,SCM,2019,5.60092330153228
New Zealand,SDID,2000,-0.34956965784449323
New Zealand,SDID,2001,-3.010963695021076
New Zealand,SDID,2002,-3.5236465878860685
New Zealand,SDID,2003,-0.34674652735445455
New Zealand,SDID,2004,0.23411289901773746
New Zealand,SDID,2005,2.6286928403413663
New Zealand,SDID,2006,1.876782352759003
New Zealand,SDID,2007,1.152761753567187
New Zealand,SDID,2008,-0.28398456039860875
New Zealand,SDID,2009,-0.5047652659698653
New Zealand,SDID,2010,0.3137572783683719
New Zealand,SDID,2011,1.6244919260818698
New Zealand,SDID,2012,4.435528428336957
New Zealand,SDID,2013,8.161334948471492
New Zealand,SDID,2014,11.532325864610286
New Zealand,SDID,2015,13.339895289396928
New Zealand,SDID,2016,11.62361544789572
New Zealand,SDID,2017,6.984211000829367
New Zealand,SDID,2018,6.516200980734026
New Zealand,SDID,2019,5.621675787314226
New Zealand,Penalized SCM,2000,1.2038297519992467
New Zealand,Penalized SCM,2001,-0.5780647735943475
New Zealand,Penalized SCM,2002,-1.3304861230532086
New Zealand,Penalized SCM,2003,-0.5715434182656578
New Zealand,Penalized SCM,2004,-0.46801084169826224
New Zealand,Penalized SCM,2005,0.6210113578612825
New Zealand,Penalized SCM,2006,0.07907398760012536
New Zealand,Penalized SCM,2007,0.5961217910423459
New Zealand,Penalized SCM,2008,-0.24040183884266736
New Zealand,Penalized SCM,2009,0.1531258471460935
New Zealand,Penalized SCM,2010,-0.018842873328033798
New Zealand,Penalized SCM,2011,1.4722168807172529
New Zealand,Penalized SCM,2012,4.351661273065738
New Zealand,Penalized SCM,2013,7.818664984495421
New Zealand,Penalized SCM,2014,11.529877041469858
New Zealand,Penalized SCM,2015,12.61641458467532
New Zealand,Penalized SCM,2016,8.76022785336563
New Zealand,Penalized SCM,2017,4.663580295744009
New Zealand,Penalized SCM,2018,4.034271690909401
New Zealand,Penalized SCM,2019,3.401428164843803
