product,country,year,treated_level,synthetic_level,gap_pct
viirs_extrapolated,New Zealand,2010,1.1591309171,1.1420110343,1.4990995945
viirs_extrapolated,New Zealand,2011,1.1710262055,1.1493140527,1.8891401097
viirs_extrapolated,New Zealand,2012,1.1070575955,1.1475834375,-3.5314070155
viirs_extrapolated,New Zealand,2013,1.2532597500,1.1921869968,5.1227494829
viirs_extrapolated,New Zealand,2014,1.2966312185,1.1648880246,11.3095156917
viirs_extrapolated,New Zealand,2015,1.3594664517,1.1326331223,20.0270789330
viirs_extrapolated,New Zealand,2016,1.3010062594,1.1426504656,13.8586381942
viirs_extrapolated,New Zealand,2017,1.4400429925,1.2451266593,15.6543377944
viirs_extrapolated,New Zealand,2018,1.4536848524,1.1671001937,24.5552747098
viirs_extrapolated,New Zealand,2019,1.4230940152,1.1899987282,19.5878601720
