Country,Estimator,MeanPostGapPct,PreRMSPEPct,PostRMSPEPct,SelectedLambda
Chile,SCM,-1.7099423242010716,3.3780166124325715,2.5083745614551134,
Chile,SDID,-5.082529757414407,3.141050854081179,5.346016511838497,
Chile,Penalized SCM,-1.457347561781678,3.0427471874907326,2.3210632263921163,0.001
New Zealand,SCM,7.802453231661076,1.0199330401672204,8.78225298529623,
New Zealand,SDID,7.759919963741213,1.7268804697814295,8.549329889535382,
New Zealand,Penalized SCM,6.516187272069097,0.6693511326681579,7.458407928085908,0.001
