outcome,avg_post_gap_percent,max_post_gap_percent,gap_2016_percent
gdp_per_capita,-1.7100023218056883,1.847061616973962,-2.159815939253192
population,-21.34806968899259,-21.095087466541816,
total_gdp,-53.708097199313045,-52.93212314869452,
