Lambda,PreRMSPEPct,MeanPostGapPct,PostRMSPEPct,Country
1e-06,3.012890449234678,-1.5174789248959266,2.618922018442175,Chile
3.162277660168379e-06,3.0129211913093745,-1.5168536250706983,2.6183111446643075,Chile
1e-05,3.0130213230782243,-1.5147869772183813,2.6163066135630384,Chile
3.1622776601683795e-05,3.013317416121836,-1.50890151688939,2.6101825066210615,Chile
0.0001,3.0140789594100794,-1.4954637152690946,2.592927233326141,Chile
0.00031622776601683794,3.018668156702524,-1.4014340982619868,2.524837861975406,Chile
0.001,3.0427495453899436,-1.4573200521970242,2.3210507885679537,Chile
0.0031622776601683794,3.271946460915126,-2.0268971049496907,2.563655502449708,Chile
0.01,3.4112725433247593,-2.454077973734632,3.2187816417246053,Chile
0.03162277660168379,4.337946571282908,-0.08203095643588325,3.1991516236792905,Chile
0.1,4.376905911745179,-0.6283088784335955,2.937427952690913,Chile
0.31622776601683794,4.381425596095742,-0.26117864561387033,3.030450160649039,Chile
1.0,4.4245452490489,0.9235598717643722,3.666377718940688,Chile
3.1622776601683795,4.8426324080685665,4.926387693694058,7.485917431301207,Chile
10.0,7.01623212819746,15.756397457434781,19.921289538645343,Chile
31.622776601683793,7.016111976514696,15.75623809076607,19.92115471682619,Chile
100.0,7.014474611466928,15.753294885254423,19.918496345361252,Chile
1e-06,0.6614161025531589,6.785477999582925,7.681480313350174,New Zealand
3.162277660168379e-06,0.6614153457643249,6.7852059683378805,7.681233046733629,New Zealand
1e-05,0.6614088257095915,6.784111911847962,7.680241600196696,New Zealand
3.1622776601683795e-05,0.6613949100980564,6.780580175983669,7.677040722328375,New Zealand
0.0001,0.6614194722566967,6.766993623051974,7.664728396224247,New Zealand
0.00031622776601683794,0.661471174238713,6.742555128752646,7.642704523971693,New Zealand
0.001,0.6693360971031432,6.516482529920715,7.458652819506319,New Zealand
0.0031622776601683794,0.7376178509215238,6.023816916686974,7.049930705031178,New Zealand
0.01,0.9210382552433395,5.4934262156416445,6.426446544596509,New Zealand
0.03162277660168379,1.0844395334184571,5.352682361862723,6.275536675350795,New Zealand
0.1,1.6516716287906763,4.116721465448935,5.138467889302828,New Zealand
0.31622776601683794,3.1450549482025796,2.235613163832251,3.573835509291383,New Zealand
1.0,3.6873370043615856,0.6078443646768573,3.190070243507964,New Zealand
3.1622776601683795,4.275424168814117,-2.0369199199561576,4.113837644213335,New Zealand
10.0,4.30707731232572,-2.1452898791012256,4.187619434810384,New Zealand
31.622776601683793,4.307077454927068,-2.1452903048537655,4.187619276689634,New Zealand
100.0,4.307060620782421,-2.145449338348465,4.187691782156038,New Zealand
