Group,Regions,Pre-treatment avg pop growth (%/yr),Post-treatment avg pop growth (%/yr),Change (p.p.)
Treated,Canterbury,1.2970315177485425,1.0531286353662095,-0.24390288238233304
Adjacent,"West Coast, Otago, Marlborough",0.677186449009537,0.7353655648564287,0.05817911584689173
Non-adjacent,11 regions,0.7590072833465956,1.1589510133382104,0.39994372999161476
