Country,TreatedRegion,CandidateTreatmentYear,MeanPostGap,RMSPE_Pre,RMSPE_Post,RMSPE_Ratio,PlaceboRatioRank,PlaceboRatioPercentile,NumPlacebos,SelectedDonors,SelectedWeights
NZ,Canterbury,2010,-5.283050087033189,2656.0050852608942,1660.8026838570593,0.6253010180866886,18,1.0,17,"Waikato, Auckland, Wellington, Manawatu-Whanganui, Total South Island","0.279, 0.211, 0.198, 0.161, 0.151"
NZ,Canterbury,2011,139.7004599702867,2627.5257646269515,1614.180823459181,0.6143349173546002,18,1.0,17,"Waikato, Auckland, Wellington, Manawatu-Whanganui, Total South Island","0.278, 0.213, 0.197, 0.160, 0.151"
NZ,Canterbury,2012,264.61436440038716,2561.7193690888726,1621.5140975767642,0.6329788177201817,18,1.0,17,"Waikato, Auckland, Wellington, Manawatu-Whanganui, Total South Island","0.278, 0.215, 0.196, 0.159, 0.151"
Chile,VII Del Maule,2009,3291.4703402286395,70585.88399556623,75316.21493989491,1.0670152539936428,10,0.7692307692307693,12,"IV De Coquimbo, X De Los Lagos, VI Del Libertador General Bernardo OHiggins, IX De La Araucanía, VIII Del Biobío","0.454, 0.331, 0.082, 0.074, 0.059"
Chile,VII Del Maule,2010,-1062.611113368234,69564.52215881026,75455.6116065951,1.0846852571535812,10,0.7692307692307693,12,"IV De Coquimbo, X De Los Lagos, VI Del Libertador General Bernardo OHiggins, IX De La Araucanía, VIII Del Biobío","0.448, 0.334, 0.083, 0.075, 0.060"
Chile,VII Del Maule,2011,21567.16016965961,69134.31773334826,83646.65838044132,1.209915149565333,8,0.6153846153846154,12,"IV De Coquimbo, X De Los Lagos, VI Del Libertador General Bernardo OHiggins, IX De La Araucanía, VIII Del Biobío","0.464, 0.323, 0.081, 0.073, 0.059"
