Country,Region,RingCategory,PrePopGrowthPctAvg,PostPopGrowthPctAvg,PopGrowthChange_pp
Chile,I De Tarapacá,Non-adjacent,1.2148081919577391,1.0936005596595688,-0.12120763229817033
Chile,II De Antofagasta,Non-adjacent,1.2158033062442675,1.119933021997861,-0.09587028424640653
Chile,III De Atacama,Non-adjacent,0.7360387731481399,0.718886186496337,-0.01715258665180297
Chile,IV De Coquimbo,Non-adjacent,1.4829130480875863,1.4060990567141696,-0.07681399137341671
Chile,IX De La Araucanía,Non-adjacent,0.8685988666802924,0.8229761069553643,-0.04562275972492813
Chile,RMS Región Metropolitana de Santiago,Non-adjacent,1.0225699491420492,0.9136675403871797,-0.10890240875486956
Chile,V De Valparaíso,Non-adjacent,1.1210121191127742,1.0414169997171285,-0.07959511939564567
Chile,VI Del Libertador General Bernardo OHiggins,Adjacent,0.9878222081641574,0.9456573034546389,-0.0421649047095185
Chile,VII Del Maule,Treated,0.8212460995096427,0.784991179075698,-0.036254920433944626
Chile,VIII Del Biobío,Adjacent,0.6691053564755078,0.6214170750299042,-0.047688281445603664
Chile,X De Los Lagos,Non-adjacent,1.0002524958078185,0.935795611819823,-0.06445688398799554
Chile,XI Aysén del General Carlos Ibáñez del Campo,Non-adjacent,1.0776366045677666,0.9830172783332358,-0.09461932623453073
Chile,XII De Magallanes y de la Antártica Chilena,Non-adjacent,0.34079226268293183,0.32199654786804643,-0.0187957148148854
New Zealand,Auckland,Non-adjacent,1.3630429814648126,1.5699165608905055,0.20687357942569284
New Zealand,Bay of Plenty,Non-adjacent,1.021943479948435,1.360280133027847,0.33833665307941185
New Zealand,Canterbury,Treated,1.320964843968384,0.8569691868219209,-0.4639956571464632
New Zealand,Gisborne,Non-adjacent,0.26039963635871466,0.6707433664612646,0.41034373010255
New Zealand,Hawke's Bay,Non-adjacent,0.6025582393550399,1.0363254409053575,0.43376720155031756
New Zealand,Manawatu-Whanganui,Non-adjacent,0.07864837251654322,0.6642179314493198,0.5855695589327766
New Zealand,Marlborough,Adjacent,0.7823592268420487,0.8109048037038343,0.028545576861785604
New Zealand,New Zealand,Non-adjacent,1.0350612849350371,1.247105436551373,0.21204415161633583
New Zealand,Northland,Non-adjacent,1.2080861566435663,1.4814800066649998,0.27339385002143346
New Zealand,Otago,Adjacent,0.7107713551529038,1.2915887822071166,0.5808174270542128
New Zealand,Southland,Non-adjacent,0.10733993898099037,0.6946572466978163,0.5873173077168259
New Zealand,Taranaki,Non-adjacent,0.5922566852838607,1.1047567576403055,0.5125000723564448
New Zealand,Tasman/Nelson,Adjacent,0.8795918893949306,1.529232880645237,0.6496409912503065
New Zealand,Total North Island,Non-adjacent,1.0448378960104554,1.3364806188080298,0.2916427227975744
New Zealand,Total South Island,Non-adjacent,1.0019116576270681,0.962078849157777,-0.03983280846929116
New Zealand,Waikato,Non-adjacent,1.1669556807254722,1.4824978498357513,0.3155421691102791
New Zealand,Wellington,Non-adjacent,0.7665194632155181,0.9747328055815648,0.20821334236604672
New Zealand,West Coast,Adjacent,0.6848381217559352,0.051273548989264985,-0.6335645727666702
