product,country,unit,year,ntl_mean,ntl_median,ntl_p90,lit_share,ntl_log_mean
pcnl_harmonized,Chile,I De Tarapaca,2000,0.21708668120558444,0.0,0.0,0.01584471094292365,0.19646003678171142
pcnl_harmonized,Chile,II De Antofagasta,2000,0.16621593369889137,0.0,0.0,0.011894684426739698,0.15376426263394286
pcnl_harmonized,Chile,III De Atacama,2000,0.1615955331055738,0.0,0.0,0.013710196204567385,0.14979451961403606
pcnl_harmonized,Chile,IV De Coquimbo,2000,0.46467553120701865,0.0,0.0,0.04481033384881288,0.38163373753385826
pcnl_harmonized,Chile,V De Valparaiso,2000,2.401161987945978,0.0,6.757313251495361,0.17635297254065582,1.2241171343956545
pcnl_harmonized,Chile,RMS Region Metropolitana de Santiago,2000,5.204094675646193,0.0,12.890629577636716,0.2498257677833016,1.825209505617936
pcnl_harmonized,Chile,VI Del Libertador General Bernardo OHiggins,2000,1.9820353616244535,0.0,7.524783658981326,0.198796224127479,1.092606074630538
pcnl_harmonized,Chile,VII Del Maule,2000,0.8156556376178481,0.0,0.0,0.08549843375714022,0.5964466353352365
pcnl_harmonized,Chile,VIII Del Biobio,2000,1.0409388928525112,0.0,0.0,0.08846047412600314,0.713409943571816
pcnl_harmonized,Chile,IX De La Araucania,2000,0.4705136205828604,0.0,0.0,0.04405249166631504,0.38561174152111366
pcnl_harmonized,Chile,X De Los Lagos,2000,0.254157597886136,0.0,0.0,0.024699005071425806,0.22646411045938783
pcnl_harmonized,Chile,XI Aysen del General Carlos Ibanez del Campo,2000,0.01590443635027001,0.0,0.0,0.0015324346764891085,0.015779286022128088
pcnl_harmonized,Chile,XII De Magallanes y de la Antartica Chilena,2000,0.047275513747978816,0.0,0.0,0.0022500879867446487,0.04619204316268976
pcnl_harmonized,New Zealand,Northland,2000,0.3760350653396875,0.0,0.0,0.04132277492750391,0.31920622271820187
pcnl_harmonized,New Zealand,Auckland,2000,5.999255774014484,0.0,24.735569000244176,0.2740740740740741,1.9458038254052235
pcnl_harmonized,New Zealand,Waikato,2000,0.7520163074642109,0.0,0.0,0.07297379226720313,0.5607673003842437
pcnl_harmonized,New Zealand,Bay of Plenty,2000,0.7801576476628094,0.0,0.0,0.06375006887431814,0.57670192648495
pcnl_harmonized,New Zealand,Gisborne,2000,0.1915383848642737,0.0,0.0,0.014855481995801712,0.17524523261833969
pcnl_harmonized,New Zealand,Hawke's Bay,2000,0.4529765691519834,0.0,0.0,0.03135839505015468,0.37361425861640485
pcnl_harmonized,New Zealand,Taranaki,2000,0.6984513039182585,0.0,0.0,0.058183148842740826,0.5297168381564383
pcnl_harmonized,New Zealand,Manawatu-Whanganui,2000,0.44177128254856474,0.0,0.0,0.03686841635422246,0.36587241501259354
pcnl_harmonized,New Zealand,Wellington,2000,1.489142089677763,0.0,0.0,0.08620689655172414,0.9119381088101945
pcnl_harmonized,New Zealand,Tasman/Nelson,2000,0.2738059070860977,0.0,0.0,0.024150268336314847,0.2420091963176665
pcnl_harmonized,New Zealand,Marlborough,2000,0.17994177858904484,0.0,0.0,0.0187603457789222,0.16546509708153118
pcnl_harmonized,New Zealand,West Coast,2000,0.06065202403819752,0.0,0.0,0.0067942506022791865,0.05888383603421546
pcnl_harmonized,New Zealand,Canterbury,2000,0.4308023366952671,0.0,0.0,0.0282939596390936,0.35823536154038216
pcnl_harmonized,New Zealand,Otago,2000,0.23633112722340693,0.0,0.0,0.020273993425677858,0.21214822544039985
pcnl_harmonized,New Zealand,Southland,2000,0.14182021403022463,0.0,0.0,0.012475626147700812,0.1326236680436389
pcnl_harmonized,Chile,I De Tarapaca,2001,0.22316542228854291,0.0,0.0,0.015803874059050135,0.20144210699292492
pcnl_harmonized,Chile,II De Antofagasta,2001,0.18062120968758594,0.0,0.0,0.012772314203908876,0.166040748839758
pcnl_harmonized,Chile,III De Atacama,2001,0.16691914562437887,0.0,0.0,0.014122306207783854,0.1543670669490582
pcnl_harmonized,Chile,IV De Coquimbo,2001,0.5007513912654732,0.0,0.0,0.046647866824342764,0.4059659101961778
pcnl_harmonized,Chile,V De Valparaiso,2001,2.5158982085573705,0.0,7.214723587036133,0.18363991824402381,1.257295028481595
pcnl_harmonized,Chile,RMS Region Metropolitana de Santiago,2001,5.294559416362927,0.0,13.794898223876944,0.25586581796218,1.839685675589099
pcnl_harmonized,Chile,VI Del Libertador General Bernardo OHiggins,2001,2.056004652560707,0.0,7.845235919952396,0.20572443058803153,1.1171083937379014
pcnl_harmonized,Chile,VII Del Maule,2001,0.8513681662241651,0.0,0.0,0.0849686751428045,0.615924915068755
pcnl_harmonized,Chile,VIII Del Biobio,2001,1.1581225902686072,0.0,0.0,0.0955077944839037,0.7692386725758524
pcnl_harmonized,Chile,IX De La Araucania,2001,0.5700722423832183,0.0,0.0,0.0497489345542006,0.4511216325584202
pcnl_harmonized,Chile,X De Los Lagos,2001,0.2834548467175248,0.0,0.0,0.026847586233595292,0.24955554090308554
pcnl_harmonized,Chile,XI Aysen del General Carlos Ibanez del Campo,2001,0.020014644237928907,0.0,0.0,0.0018333491220542425,0.01981698428912633
pcnl_harmonized,Chile,XII De Magallanes y de la Antartica Chilena,2001,0.05107276626009782,0.0,0.0,0.0024834011523297704,0.049811324759912595
pcnl_harmonized,New Zealand,Northland,2001,0.3819681224335312,0.0,0.0,0.04065358019183583,0.3235086588229582
pcnl_harmonized,New Zealand,Auckland,2001,6.141554868487859,0.0,25.587047576904315,0.27253668763102723,1.965930521339111
