Country,Region,BaselineWeight,PopulationGrowthPrePct,PopulationGrowthPostPct,PopulationGrowthDeltaPP,ConstructionSharePrePct,ConstructionSharePostPct,ConstructionShareDeltaPP,TradablesSharePrePct,GDPPerCapGrowthCorrPre
Chile,VII Del Maule,0.0,0.8317172063218359,0.77464460225384,-0.05707260406799586,7.494909192567772,9.119866566133487,1.6249573735657146,38.21946610113698,1.0
Chile,VI Del Libertador General Bernardo OHiggins,0.323,1.003496215819144,0.9329944777814658,-0.07050173803767823,9.410822596549282,7.9205885535684075,-1.490234042980875,34.810574635797046,0.6915596291944827
Chile,VIII Del Biobío,0.0,0.6761065131562549,0.6086974249661647,-0.06740908819009017,7.292749947095731,7.997957829364265,0.7052078822685335,49.538802770451994,0.4950185718255448
Chile,IX De La Araucanía,0.356,0.8805848386357007,0.8096245045067628,-0.07096033412893787,10.269912969866015,9.017126084303964,-1.2527868855620508,34.672149839465646,0.5090347421103325
Chile,RMS Región Metropolitana de Santiago,0.0,1.037935941599999,0.8853344728945256,-0.1526014687054733,6.833966994106673,5.002702096441914,-1.8312648976647585,45.19414556917768,0.5294779649291661
New Zealand,Canterbury,0.0,1.320964843968384,1.3498745616943142,0.028909717725930095,6.107586530601689,8.501746258461203,2.394159727859514,23.643180143470445,0.9999999999999998
New Zealand,Auckland,0.32,1.3630429814648126,1.763684161252324,0.40064117978751135,4.88780748905569,5.153680353835375,0.2658728647796851,26.06040931918574,0.7497998740766552
New Zealand,Wellington,0.0,0.7665194632155181,1.1883090134167995,0.4217895502012814,4.108525745467143,4.136128745506138,0.02760300003899463,17.1023021475142,0.32513340916370653
New Zealand,Waikato,0.0,1.1669556807254722,1.8525871755851908,0.6856314948597186,6.44158272261338,6.1166229951557805,-0.3249597274575997,20.245948975430352,0.43151092996367213
New Zealand,West Coast,0.254,0.6848381217559352,-0.1903213419031477,-0.8751594636590829,7.29266357841774,8.454833950619504,1.1621703722017642,15.645061719151549,0.2835038833343507
