Year,Region,Gross Domestic Product,GDP per capita,Population,Agriculture,Administrative and Support Services,Construction,Education and Training,Financial and Insurance Services,Food and beverage services,Health Care and Social Assistance,"Information Media, Telecommunications and Other Services",Manufacturing,"Professional, Scientific, and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade,Tertiary,regioncode,Tertiary Share
2000,Auckland,40539.0,33958.0,1193800.0,0.004489503934482843,0.02363156466612398,0.04575840548607514,0.03589136387182713,0.05239399097165692,0.010903080983744049,0.041737586028269075,0.08719998026591677,0.16813438910678605,0.08564592121167271,0.02459360122351316,0.06376575643207776,0.046720442043464316,0.04963121931966748,0.08584326204395767,,2.0,
2000,Bay of Plenty,5837.0,23920.0,244000.0,0.07058420421449375,0.013191708069213636,0.054480041117012164,0.036320027411341445,0.021072468733938667,0.013705670721260922,0.053452115812917596,0.03717663183142025,0.17491862258009253,0.04026040774370396,0.02586945348637999,0.06647250299811547,0.05173890697275998,0.06338872708583176,0.03700531094740449,,4.0,
2000,Canterbury,13129.0,26604.0,493500.0,0.05567826947977759,0.01987965572396984,0.04691903419910123,0.04783304135882398,0.028258054688095058,0.016147459821768604,0.056439942112879886,0.07136872572168482,0.16680630664940208,0.05087973189123315,0.031228577957193998,0.054231091476883236,0.04874704851854673,0.05407875695026278,0.051260568207784296,,13.0,
2000,Gisborne,968.0,20918.0,46300.0,0.10227272727272728,0.013429752066115703,0.056818181818181816,0.05475206611570248,0.011363636363636364,0.011363636363636364,0.060950413223140494,0.03925619834710744,0.13636363636363635,0.03305785123966942,0.03512396694214876,0.06198347107438017,0.0506198347107438,0.058884297520661155,0.025826446280991736,,5.0,
2000,Hawke's Bay,3640.0,24692.0,147400.0,0.09807692307692308,0.013736263736263736,0.0478021978021978,0.03543956043956044,0.017857142857142856,0.00934065934065934,0.0521978021978022,0.028846153846153848,0.2574175824175824,0.03571428571428571,0.029395604395604395,0.05302197802197802,0.045054945054945054,0.0489010989010989,0.031868131868131866,,6.0,
2000,Manawatu-Whanganui,5096.0,22091.0,230700.0,0.09536891679748823,0.011185243328100471,0.049843014128728415,0.08202511773940345,0.02295918367346939,0.01098901098901099,0.06338304552590267,0.0500392464678179,0.11734693877551021,0.0445447409733124,0.06966248037676609,0.05357142857142857,0.053963893249607535,0.033751962323390894,0.03355572998430141,,8.0,
2000,Marlborough,1005.0,24878.0,40400.0,0.08955223880597014,0.008955223880597015,0.04875621890547264,0.031840796019900496,0.01791044776119403,0.014925373134328358,0.04079601990049751,0.031840796019900496,0.21691542288557214,0.01990049751243781,0.046766169154228855,0.05970149253731343,0.04477611940298507,0.04875621890547264,0.013930348258706468,,11.0,
2000,New Zealand,113229.0,29421.0,3848600.0,0.04561552252514815,0.01822854569059163,0.04573916576142154,0.04272756979219105,0.04376970564078107,0.012240680391065894,0.04719638961750082,0.07471584134806454,0.15556085455139584,0.06706762401858181,0.03809094843193882,0.056125197608386544,0.04491782140617686,0.04657817343613385,0.05485343860671736,,,
2000,Northland,2854.0,19789.0,144200.0,0.1145760336370007,0.01051156271899089,0.05255781359495445,0.04730203223545901,0.021373510861948143,0.012263489838822705,0.05851436580238262,0.038192011212333565,0.14365802382620882,0.03363700070077085,0.02803083391730904,0.0606166783461808,0.052207428170988085,0.04905395935529082,0.026629292221443588,,1.0,
2000,Otago,4584.0,24344.0,,0.07177137870855148,0.0137434554973822,0.052137870855148344,0.08355148342059336,0.024869109947643978,0.0231239092495637,0.061300174520069806,0.07133507853403141,0.1156195462478185,0.04275741710296684,0.029450261780104712,0.05519197207678883,0.047556719022687606,0.04886561954624782,0.02443280977312391,,14.0,
2000,Southland,2532.0,27134.0,,0.1481042654028436,0.0071090047393364926,0.045813586097946286,0.03515007898894155,0.022511848341232227,0.012243285939968405,0.04344391785150079,0.04028436018957346,0.20774091627172195,0.026856240126382307,0.02527646129541864,0.03593996840442338,0.04541864139020537,0.053712480252764615,0.030410742496050552,,15.0,
2000,Taranaki,3861.0,36085.0,107000.0,0.11888111888111888,0.00777000777000777,0.03237503237503238,0.02823102823102823,0.013468013468013467,0.006216006216006216,0.034447034447034446,0.02305102305102305,0.1434861434861435,0.028749028749028748,0.015022015022015021,0.03263403263403263,0.030303030303030304,0.027195027195027196,0.02900802900802901,,7.0,
2000,Tasman/Nelson,2042.0,24402.0,83700.0,0.051420176297747304,0.014201762977473066,0.05288932419196866,0.03819784524975514,0.021057786483839373,0.013222331047992164,0.05239960822722821,0.04064642507345739,0.16895200783545544,0.04113614103819784,0.022037218413320275,0.058765915768854066,0.0484818805093046,0.06660137120470128,0.030852105778648383,,10.0,
2000,Total North Island,89242.0,30583.0,2918000.0,0.038793393245332916,0.01879160036753995,0.04504605454830685,0.04032854485556128,0.04858698818941754,0.01094776002330741,0.04509087649313104,0.07790054010443513,0.15351516102283677,0.07333990721857421,0.04020528450729477,0.057058335761188676,0.044071177248380805,0.04454180766903476,0.05892965195759844,,,
2000,Total South Island,23987.0,25768.0,930900.0,0.0709967899278776,0.016133739108683872,0.048317838829365904,0.0516529786967941,0.025847333972568474,0.017050902572226623,0.05502980781256514,0.06286738650102139,0.16317171801392422,0.043773710759995,0.030224705048567974,0.05265352065702256,0.04806770333930879,0.05415433359736524,0.039688164422395464,,,
